id,umbrella_id,readable_name,img_link
ovcharka/caucasian,ovcharka,Ovcharka (Caucasian),https://images.dog.ceo/breeds/ovcharka-caucasian/IMG_20191108_140150.jpg
papillon,papillon,Papillon,https://images.dog.ceo/breeds/papillon/n02086910_3991.jpg
pariah/indian,pariah,Pariah (Indian),https://images.dog.ceo/breeds/pariah-indian/The_Indian_Pariah_Dog.jpg
pekinese,pekinese,Pekinese,https://images.dog.ceo/breeds/pekinese/n02086079_22412.jpg
pembroke,pembroke,Pembroke,https://images.dog.ceo/breeds/pembroke/n02113023_1482.jpg
pinscher/miniature,pinscher,Pinscher (Miniature),https://images.dog.ceo/breeds/pinscher-miniature/n02107312_7391.jpg
pitbull,pitbull,Pitbull,https://images.dog.ceo/breeds/pitbull/dog-3981033_1280.jpg
pointer/german,pointer,Pointer (German),https://images.dog.ceo/breeds/pointer-german/n02100236_4295.jpg
pointer/germanlonghair,pointer,Pointer (Germanlonghair),https://images.dog.ceo/breeds/pointer-germanlonghair/hans2.jpg
pomeranian,pomeranian,Pomeranian,https://images.dog.ceo/breeds/pomeranian/n02112018_5778.jpg
poodle/medium,poodle,Poodle (Medium),https://images.dog.ceo/breeds/poodle-medium/PXL_20210220_100624962.jpg
poodle/miniature,poodle,Poodle (Miniature),https://images.dog.ceo/breeds/poodle-miniature/n02113712_2451.jpg
poodle/standard,poodle,Poodle (Standard),https://images.dog.ceo/breeds/poodle-standard/n02113799_2729.jpg
poodle/toy,poodle,Poodle (Toy),https://images.dog.ceo/breeds/poodle-toy/n02113624_1050.jpg
pug,pug,Pug,https://images.dog.ceo/breeds/pug/n02110958_630.jpg
puggle,puggle,Puggle,https://images.dog.ceo/breeds/puggle/IMG_080306.jpg
pyrenees,pyrenees,Pyrenees,https://images.dog.ceo/breeds/pyrenees/n02111500_250.jpg
rajapalayam/indian,rajapalayam,Rajapalayam (Indian),https://images.dog.ceo/breeds/rajapalayam-indian/Rajapalayam-dog.jpg
redbone,redbone,Redbone,https://images.dog.ceo/breeds/redbone/n02090379_4611.jpg
retriever/chesapeake,retriever,Retriever (Chesapeake),https://images.dog.ceo/breeds/retriever-chesapeake/n02099849_1265.jpg
retriever/curly,retriever,Retriever (Curly),https://images.dog.ceo/breeds/retriever-curly/n02099429_2934.jpg
retriever/flatcoated,retriever,Retriever (Flatcoated),https://images.dog.ceo/breeds/retriever-flatcoated/n02099267_1639.jpg
retriever/golden,retriever,Retriever (Golden),https://images.dog.ceo/breeds/retriever-golden/n02099601_8005.jpg
ridgeback/rhodesian,ridgeback,Ridgeback (Rhodesian),https://images.dog.ceo/breeds/ridgeback-rhodesian/n02087394_531.jpg
rottweiler,rottweiler,Rottweiler,https://images.dog.ceo/breeds/rottweiler/n02106550_5222.jpg
rough/collie,rough,Rough (Collie),https://images.dog.ceo/breeds/rough-collie/1Dog-rough-collie-portrait.jpg
saluki,saluki,Saluki,https://images.dog.ceo/breeds/saluki/n02091831_7497.jpg
samoyed,samoyed,Samoyed,https://images.dog.ceo/breeds/samoyed/n02111889_9001.jpg
schipperke,schipperke,Schipperke,https://images.dog.ceo/breeds/schipperke/n02104365_6529.jpg
schnauzer/giant,schnauzer,Schnauzer (Giant),https://images.dog.ceo/breeds/schnauzer-giant/n02097130_1193.jpg
schnauzer/miniature,schnauzer,Schnauzer (Miniature),https://images.dog.ceo/breeds/schnauzer-miniature/n02097047_724.jpg
segugio/italian,segugio,Segugio (Italian),https://images.dog.ceo/breeds/segugio-italian/n02090722_001.jpg
setter/english,setter,Setter (English),https://images.dog.ceo/breeds/setter-english/n02100735_4172.jpg
setter/gordon,setter,Setter (Gordon),https://images.dog.ceo/breeds/setter-gordon/n02101006_638.jpg
setter/irish,setter,Setter (Irish),https://images.dog.ceo/breeds/setter-irish/n02100877_5799.jpg
sharpei,sharpei,Sharpei,https://images.dog.ceo/breeds/sharpei/noel.jpg
sheepdog/english,sheepdog,Sheepdog (English),https://images.dog.ceo/breeds/sheepdog-english/n02105641_2586.jpg
sheepdog/indian,sheepdog,Sheepdog (Indian),https://images.dog.ceo/breeds/sheepdog-indian/Himalayan_Sheepdog.jpg
sheepdog/shetland,sheepdog,Sheepdog (Shetland),https://images.dog.ceo/breeds/sheepdog-shetland/n02105855_9415.jpg
shiba,shiba,Shiba,https://images.dog.ceo/breeds/shiba/shiba-12.jpg
shihtzu,shihtzu,Shihtzu,https://images.dog.ceo/breeds/shihtzu/n02086240_574.jpg
spaniel/blenheim,spaniel,Spaniel (Blenheim),https://images.dog.ceo/breeds/spaniel-blenheim/n02086646_3522.jpg
spaniel/brittany,spaniel,Spaniel (Brittany),https://images.dog.ceo/breeds/spaniel-brittany/n02101388_2021.jpg
spaniel/cocker,spaniel,Spaniel (Cocker),https://images.dog.ceo/breeds/spaniel-cocker/n02102318_5075.jpg
spaniel/irish,spaniel,Spaniel (Irish),https://images.dog.ceo/breeds/spaniel-irish/n02102973_2535.jpg
spaniel/japanese,spaniel,Spaniel (Japanese),https://images.dog.ceo/breeds/spaniel-japanese/n02085782_940.jpg
spaniel/sussex,spaniel,Spaniel (Sussex),https://images.dog.ceo/breeds/spaniel-sussex/n02102480_7629.jpg
spaniel/welsh,spaniel,Spaniel (Welsh),https://images.dog.ceo/breeds/spaniel-welsh/n02102177_1361.jpg
spitz/indian,spitz,Spitz (Indian),https://images.dog.ceo/breeds/spitz-indian/Indian_Spitz.jpg
spitz/japanese,spitz,Spitz (Japanese),https://images.dog.ceo/breeds/spitz-japanese/beet-003.jpg
springer/english,springer,Springer (English),https://images.dog.ceo/breeds/springer-english/n02102040_5604.jpg
stbernard,stbernard,Stbernard,https://images.dog.ceo/breeds/stbernard/n02109525_10374.jpg
terrier/american,terrier,Terrier (American),https://images.dog.ceo/breeds/terrier-american/n02093428_4514.jpg
terrier/andalusian,terrier,Terrier (Andalusian),https://images.dog.ceo/breeds/terrier-andalusian/images.jpg
terrier/australian,terrier,Terrier (Australian),https://images.dog.ceo/breeds/terrier-australian/n02096294_1409.jpg
terrier/bedlington,terrier,Terrier (Bedlington),https://images.dog.ceo/breeds/terrier-bedlington/n02093647_1101.jpg
terrier/border,terrier,Terrier (Border),https://images.dog.ceo/breeds/terrier-border/n02093754_4697.jpg
terrier/boston,terrier,Terrier (Boston),https://images.dog.ceo/breeds/terrier-boston/bostonTerrier_000003.jpg
terrier/cairn,terrier,Terrier (Cairn),https://images.dog.ceo/breeds/terrier-cairn/n02096177_5225.jpg
terrier/dandie,terrier,Terrier (Dandie),https://images.dog.ceo/breeds/terrier-dandie/n02096437_1055.jpg
terrier/fox,terrier,Terrier (Fox),https://images.dog.ceo/breeds/terrier-fox/n02095314_3052.jpg
terrier/irish,terrier,Terrier (Irish),https://images.dog.ceo/breeds/terrier-irish/n02093991_4441.jpg
terrier/kerryblue,terrier,Terrier (Kerryblue),https://images.dog.ceo/breeds/terrier-kerryblue/n02093859_2579.jpg
terrier/lakeland,terrier,Terrier (Lakeland),https://images.dog.ceo/breeds/terrier-lakeland/n02095570_1208.jpg
terrier/norfolk,terrier,Terrier (Norfolk),https://images.dog.ceo/breeds/terrier-norfolk/n02094114_2165.jpg
